Stat,Value
Mean Calories/Day (Last 7 Days),2224.86
Mean Carbs (g)/Day (Last 7 Days),176.14
Mean Protein (g)/Day (Last 7 Days),121.96
Mean Fat (g)/Day (Last 7 Days),113.79
Weekly Average Time Reading (Hours),0.143
Weekly Average Deep Work Time (Hours),4.083
Weekly Average Active Zone Minutes,6.29
Today's Calories,600.0
Today's Carbs (g),62.0
Today's Protein (g),14.0
Today's Fat (g),34.0
Today's Time Reading (Hours),0.0
Today's Deep Work Time (Hours),2.9166666666666665
Today's Active Zone Minutes,19.0
