Stat,Value
Mean Calories/Day (Last 7 Days),2309.14
Mean Carbs (g)/Day (Last 7 Days),176.43
Mean Protein (g)/Day (Last 7 Days),134.26
Mean Fat (g)/Day (Last 7 Days),116.86
Weekly Average Time Reading (Hours),0.433
Weekly Average Deep Work Time (Hours),2.974
Weekly Average Active Zone Minutes,8.0
Today's Calories,860.0
Today's Carbs (g),62.0
Today's Protein (g),48.0
Today's Fat (g),48.0
Today's Time Reading (Hours),1.3333333333333333
Today's Deep Work Time (Hours),0.0
Today's Active Zone Minutes,12.0
